baseline,horizon_h,variable,mae,se,err
persistence,1,temperature_2m,0.8000000000000007,0.6400000000000011,-0.8000000000000007
persistence,1,relative_humidity_2m,5.0,25.0,-5.0
persistence,1,cloud_cover,3.0,9.0,-3.0
persistence,1,wind_speed_100m,3.8999999999999995,15.209999999999996,3.8999999999999995
persistence,1,wind_speed_10m,1.9000000000000001,3.6100000000000003,1.9000000000000001
persistence,1,surface_pressure,0.5,0.25,-0.5
persistence,1,precipitation,0.0,0.0,0.0
persistence,6,temperature_2m,0.9000000000000004,0.8100000000000006,0.9000000000000004
persistence,6,relative_humidity_2m,7.0,49.0,-7.0
persistence,6,cloud_cover,14.0,196.0,-14.0
persistence,6,wind_speed_100m,1.2999999999999998,1.6899999999999995,1.2999999999999998
persistence,6,wind_speed_10m,0.6999999999999997,0.4899999999999996,0.6999999999999997
persistence,6,surface_pressure,0.6000000000000227,0.3600000000000273,0.6000000000000227
persistence,6,precipitation,0.0,0.0,0.0
persistence,12,shortwave_radiation,60.0,3600.0,60.0
persistence,12,direct_normal_irradiance,284.09999999999997,80712.80999999998,284.09999999999997
persistence,12,diffuse_radiation,184.0,33856.0,-184.0
persistence,12,temperature_2m,0.3000000000000007,0.09000000000000043,0.3000000000000007
persistence,12,relative_humidity_2m,2.0,4.0,-2.0
persistence,12,cloud_cover,13.0,169.0,-13.0
persistence,12,wind_speed_100m,0.10000000000000142,0.010000000000000285,-0.10000000000000142
persistence,12,wind_speed_10m,0.20000000000000018,0.04000000000000007,0.20000000000000018
persistence,12,surface_pressure,0.6000000000000227,0.3600000000000273,-0.6000000000000227
persistence,12,precipitation,0.1,0.010000000000000002,0.1
persistence,24,temperature_2m,0.20000000000000107,0.040000000000000424,-0.20000000000000107
persistence,24,relative_humidity_2m,1.0,1.0,1.0
persistence,24,cloud_cover,14.0,196.0,14.0
persistence,24,wind_speed_100m,2.1000000000000014,4.410000000000006,2.1000000000000014
persistence,24,wind_speed_10m,0.6999999999999997,0.4899999999999996,0.6999999999999997
persistence,24,surface_pressure,1.0,1.0,-1.0
persistence,24,precipitation,0.0,0.0,0.0
persistence,48,temperature_2m,1.6000000000000014,2.5600000000000045,-1.6000000000000014
persistence,48,relative_humidity_2m,3.0,9.0,3.0
persistence,48,cloud_cover,9.0,81.0,9.0
persistence,48,wind_speed_100m,0.7000000000000011,0.4900000000000015,0.7000000000000011
persistence,48,wind_speed_10m,2.4999999999999996,6.249999999999998,2.4999999999999996
persistence,48,surface_pressure,2.2000000000000455,4.8400000000002,-2.2000000000000455
persistence,48,precipitation,0.0,0.0,0.0
persistence,72,temperature_2m,0.3000000000000007,0.09000000000000043,-0.3000000000000007
persistence,72,relative_humidity_2m,10.0,100.0,10.0
persistence,72,cloud_cover,14.0,196.0,14.0
persistence,72,wind_speed_100m,1.4999999999999991,2.2499999999999973,-1.4999999999999991
persistence,72,wind_speed_10m,1.5,2.25,-1.5
