contendiente,horizonte_h,variable,mae,rmse,bias,n
climatology,1,cloud_cover,21.034375,25.233414244696345,-1.5385416666666667,320
climatology,1,diffuse_radiation,40.77070063694268,60.892283393945085,0.2598726114649679,157
climatology,1,direct_normal_irradiance,155.3923991507431,189.40294221773863,30.778811040339697,157
climatology,1,precipitation,0.1204375,0.31155468130722164,-0.004208333333333333,320
climatology,1,relative_humidity_2m,8.937604166666667,11.43602358412515,-2.4455208333333336,320
climatology,1,shortwave_radiation,64.86560509554141,94.52232510567477,15.87707006369427,157
climatology,1,surface_pressure,0.7227395833333354,0.9242460703790483,0.08130208333333186,320
climatology,1,temperature_2m,1.0397916666666664,1.325395957608308,0.07237499999999972,320
climatology,1,wind_speed_100m,2.9353333333333333,3.7327634423663474,0.47895833333333304,320
climatology,1,wind_speed_10m,1.6380833333333331,2.1758215562045624,0.34858333333333347,320
climatology,6,cloud_cover,21.514479166666668,25.60496228761136,-1.4286458333333332,320
climatology,6,diffuse_radiation,41.587916666666665,55.37734946106876,-2.9062500000000004,160
climatology,6,direct_normal_irradiance,185.20539583333334,223.97959715721507,26.12397916666665,160
climatology,6,precipitation,0.18039583333333334,0.4034828407476305,-0.016229166666666663,320
climatology,6,relative_humidity_2m,9.479479166666668,12.24228541095711,-2.6759375000000003,320
climatology,6,shortwave_radiation,86.42354166666667,113.75976487390729,12.121875,160
climatology,6,surface_pressure,0.7414791666666627,0.9354840176198786,0.10487499999999664,320
climatology,6,temperature_2m,1.1047708333333335,1.404604259213249,0.10895833333333323,320
climatology,6,wind_speed_100m,2.97375,3.776993862702042,0.449125,320
climatology,6,wind_speed_10m,1.749375,2.2279435585310505,0.2930208333333334,320
climatology,12,cloud_cover,21.559791666666666,25.58527232065788,-1.5987499999999997,320
climatology,12,diffuse_radiation,41.587916666666665,55.37734946106876,-2.9062500000000004,160
climatology,12,direct_normal_irradiance,185.20539583333334,223.97959715721507,26.12397916666665,160
climatology,12,precipitation,0.18039583333333334,0.4034828407476305,-0.016229166666666663,320
climatology,12,relative_humidity_2m,9.4903125,12.248602386258877,-2.6842708333333336,320
climatology,12,shortwave_radiation,86.42354166666667,113.75976487390729,12.121875,160
climatology,12,surface_pressure,0.7418541666666638,0.9395929969939166,0.10695833333332878,320
