baseline,horizon_h,variable,mae
climatology,12,wind_speed_10m,1.1357142857142861
climatology,12,surface_pressure,0.47142857142853245
climatology,12,precipitation,0.6357142857142857
climatology,24,temperature_2m,0.9857142857142858
climatology,24,relative_humidity_2m,8.42857142857143
climatology,24,cloud_cover,0.4285714285714306
climatology,24,wind_speed_100m,0.9928571428571429
climatology,24,wind_speed_10m,1.2928571428571427
climatology,24,surface_pressure,0.685714285714198
climatology,24,precipitation,0.39285714285714285
persistence,1,shortwave_radiation,55.0
persistence,1,direct_normal_irradiance,65.29999999999998
persistence,1,diffuse_radiation,6.0
persistence,1,temperature_2m,1.200000000000001
persistence,1,relative_humidity_2m,5.0
persistence,1,cloud_cover,1.0
persistence,1,wind_speed_100m,1.7000000000000002
persistence,1,wind_speed_10m,0.7999999999999998
persistence,1,surface_pressure,0.10000000000002274
persistence,1,precipitation,5.3999999999999995
persistence,6,shortwave_radiation,80.0
persistence,6,direct_normal_irradiance,148.1
persistence,6,diffuse_radiation,13.0
persistence,6,temperature_2m,1.3000000000000007
persistence,6,relative_humidity_2m,4.0
persistence,6,cloud_cover,0.0
persistence,6,wind_speed_100m,1.3000000000000007
persistence,6,wind_speed_10m,0.0
persistence,6,surface_pressure,0.39999999999997726
persistence,6,precipitation,0.9
persistence,12,temperature_2m,1.5
persistence,12,relative_humidity_2m,4.0
persistence,12,cloud_cover,0.0
persistence,12,wind_speed_100m,1.9000000000000001
persistence,12,wind_speed_10m,1.3
persistence,12,surface_pressure,1.6000000000000227
persistence,12,precipitation,0.0
persistence,24,shortwave_radiation,1.0
persistence,24,direct_normal_irradiance,133.2
persistence,24,diffuse_radiation,114.0
persistence,24,temperature_2m,0.6999999999999993
persistence,24,relative_humidity_2m,15.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,1.7999999999999998
persistence,24,wind_speed_10m,1.4000000000000004
persistence,24,surface_pressure,0.10000000000002274
persistence,24,precipitation,0.2
climatology,1,shortwave_radiation,18.928571428571445
climatology,1,direct_normal_irradiance,76.69285714285718
climatology,1,diffuse_radiation,50.0
climatology,1,temperature_2m,0.40714285714285836
climatology,1,relative_humidity_2m,3.0
climatology,1,cloud_cover,1.2857142857142918
climatology,1,wind_speed_100m,3.1428571428571432
climatology,1,wind_speed_10m,2.4142857142857146
climatology,1,surface_pressure,0.3642857142857565
climatology,1,precipitation,1.65
climatology,6,shortwave_radiation,15.928571428571416
climatology,6,direct_normal_irradiance,30.207142857142856
climatology,6,diffuse_radiation,1.0
climatology,6,temperature_2m,0.814285714285715
climatology,6,relative_humidity_2m,1.1428571428571388
climatology,6,cloud_cover,2.357142857142861
climatology,6,wind_speed_100m,1.8071428571428587
climatology,6,wind_speed_10m,1.1214285714285719
climatology,6,surface_pressure,0.7785714285714675
climatology,6,precipitation,0.3428571428571431
climatology,12,temperature_2m,0.257142857142858
climatology,12,relative_humidity_2m,5.357142857142861
climatology,12,cloud_cover,5.142857142857139
climatology,12,wind_speed_100m,1.8285714285714285
climatology,12,wind_speed_10m,1.15
climatology,12,surface_pressure,0.6785714285715585
climatology,12,precipitation,0.09285714285714286
climatology,24,shortwave_radiation,215.5
climatology,24,direct_normal_irradiance,347.6714285714285
climatology,24,diffuse_radiation,80.0
climatology,24,temperature_2m,2.492857142857142
climatology,24,relative_humidity_2m,19.57142857142857
climatology,24,cloud_cover,0.4285714285714306
climatology,24,wind_speed_100m,0.3214285714285712
climatology,24,wind_speed_10m,8.881784197001252e-16
climatology,24,surface_pressure,0.8785714285713766
climatology,24,precipitation,1.4928571428571429
persistence,1,shortwave_radiation,33.0
persistence,1,direct_normal_irradiance,105.6
persistence,1,diffuse_radiation,10.0
persistence,1,temperature_2m,0.7999999999999989
persistence,1,relative_humidity_2m,0.0
persistence,1,cloud_cover,0.0
persistence,1,wind_speed_100m,2.2
persistence,1,wind_speed_10m,1.0
persistence,1,surface_pressure,1.0
persistence,1,precipitation,0.0
persistence,6,temperature_2m,1.200000000000001
persistence,6,relative_humidity_2m,5.0
persistence,6,cloud_cover,0.0
persistence,6,wind_speed_100m,2.4000000000000004
persistence,6,wind_speed_10m,1.2
persistence,6,surface_pressure,2.0
persistence,6,precipitation,0.0
persistence,12,temperature_2m,1.0999999999999996
persistence,12,relative_humidity_2m,1.0
persistence,12,cloud_cover,5.0
persistence,12,wind_speed_100m,1.9000000000000001
persistence,12,wind_speed_10m,0.6
persistence,12,surface_pressure,0.3000000000000682
persistence,12,precipitation,0.0
persistence,24,shortwave_radiation,16.0
persistence,24,direct_normal_irradiance,2.7000000000000455
persistence,24,diffuse_radiation,15.0
persistence,24,temperature_2m,1.4000000000000004
persistence,24,relative_humidity_2m,14.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,2.0
persistence,24,wind_speed_10m,1.7000000000000002
persistence,24,surface_pressure,0.2999999999999545
persistence,24,precipitation,2.4
climatology,1,shortwave_radiation,24.285714285714292
climatology,1,direct_normal_irradiance,31.142857142857153
climatology,1,diffuse_radiation,16.857142857142854
climatology,1,temperature_2m,1.0285714285714285
climatology,1,relative_humidity_2m,1.0
climatology,1,cloud_cover,0.1428571428571388
climatology,1,wind_speed_100m,0.6642857142857146
climatology,1,wind_speed_10m,0.1499999999999999
climatology,1,surface_pressure,0.40714285714295784
climatology,1,precipitation,0.3571428571428571
climatology,6,temperature_2m,0.9071428571428584
climatology,6,relative_humidity_2m,0.2142857142857082
climatology,6,cloud_cover,5.142857142857139
climatology,6,wind_speed_100m,0.6642857142857146
climatology,6,wind_speed_10m,0.07857142857142874
climatology,6,surface_pressure,1.3285714285711947
climatology,6,precipitation,0.05
climatology,12,temperature_2m,0.4714285714285733
climatology,12,relative_humidity_2m,3.142857142857139
climatology,12,cloud_cover,6.428571428571431
climatology,12,wind_speed_100m,1.4285714285714288
climatology,12,wind_speed_10m,0.014285714285714124
climatology,12,surface_pressure,0.9714285714286461
climatology,12,precipitation,0.3071428571428571
climatology,24,shortwave_radiation,86.0
climatology,24,direct_normal_irradiance,137.37142857142854
climatology,24,diffuse_radiation,22.428571428571416
climatology,24,temperature_2m,0.13571428571428612
climatology,24,relative_humidity_2m,6.928571428571431
climatology,24,cloud_cover,1.0
climatology,24,wind_speed_100m,1.0928571428571434
climatology,24,wind_speed_10m,1.0214285714285714
climatology,24,surface_pressure,0.41428571428571104
climatology,24,precipitation,1.3
arima,1,shortwave_radiation,181.2926994859829
arima,1,direct_normal_irradiance,123.52840938896084
arima,1,diffuse_radiation,90.71600754200796
arima,1,temperature_2m,1.1556423086317231
arima,1,relative_humidity_2m,9.896986560704761
arima,1,cloud_cover,0.07245103453418267
arima,1,wind_speed_100m,2.0875126553814356
arima,1,wind_speed_10m,2.2845116443633495
arima,1,surface_pressure,0.5808480671306597
arima,1,precipitation,0.683648447998609
arima,6,temperature_2m,6.09899414759661
arima,6,relative_humidity_2m,7.75588257616279
arima,6,cloud_cover,0.051458886925459524
arima,6,wind_speed_100m,1.318548660737389
arima,6,wind_speed_10m,3.631558795114389
arima,6,surface_pressure,3.7742529338826216
arima,6,precipitation,0.735466087607953
arima,12,temperature_2m,4.408501452473381
arima,12,relative_humidity_2m,0.1944573072872373
arima,12,cloud_cover,6.952897659461897
arima,12,wind_speed_100m,0.7677083346134177
arima,12,wind_speed_10m,4.02096207950414
arima,12,surface_pressure,1.8025270993404092
arima,12,precipitation,0.7513865268898222
arima,24,shortwave_radiation,13.350544869885937
arima,24,direct_normal_irradiance,177.6436594292602
arima,24,diffuse_radiation,17.690510008367028
arima,24,temperature_2m,1.4171775484012716
arima,24,relative_humidity_2m,6.5590806768590255
arima,24,cloud_cover,0.04735388917821126
arima,24,wind_speed_100m,0.23360442538517034
arima,24,wind_speed_10m,1.520359230181235
arima,24,surface_pressure,0.3051434606232988
arima,24,precipitation,1.747637184888319
persistence,1,temperature_2m,1.5
persistence,1,relative_humidity_2m,1.0
persistence,1,cloud_cover,2.0
persistence,1,wind_speed_100m,0.0
persistence,1,wind_speed_10m,0.4
persistence,1,surface_pressure,1.3000000000000682
persistence,1,precipitation,0.0
persistence,6,temperature_2m,1.5999999999999996
persistence,6,relative_humidity_2m,8.0
persistence,6,cloud_cover,7.0
persistence,6,wind_speed_100m,3.0
persistence,6,wind_speed_10m,0.30000000000000004
persistence,6,surface_pressure,1.1999999999999318
persistence,6,precipitation,0.0
persistence,12,shortwave_radiation,295.0
persistence,12,direct_normal_irradiance,431.40000000000003
persistence,12,diffuse_radiation,69.0
persistence,12,temperature_2m,2.1000000000000014
persistence,12,relative_humidity_2m,21.0
persistence,12,cloud_cover,48.0
persistence,12,wind_speed_100m,2.5999999999999996
persistence,12,wind_speed_10m,2.0
persistence,12,surface_pressure,1.2999999999999545
persistence,12,precipitation,0.09999999999999998
persistence,24,temperature_2m,0.8000000000000007
persistence,24,relative_humidity_2m,2.0
persistence,24,cloud_cover,0.0
persistence,24,wind_speed_100m,2.8999999999999995
persistence,24,wind_speed_10m,2.1
persistence,24,surface_pressure,1.0
persistence,24,precipitation,0.0
climatology,1,temperature_2m,0.6928571428571413
climatology,1,relative_humidity_2m,1.9285714285714306
climatology,1,cloud_cover,3.214285714285708
climatology,1,wind_speed_100m,1.3214285714285712
climatology,1,wind_speed_10m,0.4
climatology,1,surface_pressure,0.057142857143048786
climatology,1,precipitation,0.15714285714285717
climatology,6,temperature_2m,1.1999999999999975
climatology,6,relative_humidity_2m,5.5
climatology,6,cloud_cover,1.0714285714285694
climatology,6,wind_speed_100m,1.5714285714285714
climatology,6,wind_speed_10m,0.17857142857142871
climatology,6,surface_pressure,0.3857142857142435
climatology,6,precipitation,0.2857142857142857
climatology,12,shortwave_radiation,32.571428571428555
climatology,12,direct_normal_irradiance,25.6142857142857
climatology,12,diffuse_radiation,13.642857142857139
climatology,12,temperature_2m,0.5285714285714302
climatology,12,relative_humidity_2m,7.785714285714292
climatology,12,cloud_cover,3.857142857142861
climatology,12,wind_speed_100m,0.628571428571429
climatology,12,wind_speed_10m,0.5357142857142856
climatology,12,surface_pressure,0.6428571428572241
climatology,12,precipitation,1.3857142857142855
climatology,24,temperature_2m,0.0785714285714274
climatology,24,relative_humidity_2m,1.7142857142857082
climatology,24,cloud_cover,5.142857142857139
climatology,24,wind_speed_100m,2.678571428571428
climatology,24,wind_speed_10m,1.292857142857143
climatology,24,surface_pressure,0.9428571428570649
climatology,24,precipitation,0.03571428571428571
persistence,1,temperature_2m,0.7999999999999989
persistence,1,relative_humidity_2m,8.0
persistence,1,cloud_cover,2.0
persistence,1,wind_speed_100m,2.6999999999999997
persistence,1,wind_speed_10m,1.8
persistence,1,surface_pressure,1.1000000000000227
persistence,1,precipitation,0.1
persistence,6,shortwave_radiation,270.0
persistence,6,direct_normal_irradiance,354.7
persistence,6,diffuse_radiation,31.0
persistence,6,temperature_2m,2.3000000000000007
persistence,6,relative_humidity_2m,11.0
persistence,6,cloud_cover,5.0
persistence,6,wind_speed_100m,0.9000000000000004
persistence,6,wind_speed_10m,0.2999999999999998
persistence,6,surface_pressure,0.6999999999999318
persistence,6,precipitation,0.09999999999999998
persistence,12,shortwave_radiation,142.0
persistence,12,direct_normal_irradiance,291.79999999999995
persistence,12,diffuse_radiation,9.0
persistence,12,temperature_2m,0.5999999999999996
persistence,12,relative_humidity_2m,5.0
persistence,12,cloud_cover,0.0
persistence,12,wind_speed_100m,2.4
persistence,12,wind_speed_10m,2.1999999999999997
persistence,12,surface_pressure,0.0
persistence,12,precipitation,1.3
persistence,24,temperature_2m,0.0
persistence,24,relative_humidity_2m,2.0
persistence,24,cloud_cover,1.0
persistence,24,wind_speed_100m,4.1
persistence,24,wind_speed_10m,0.9000000000000001
persistence,24,surface_pressure,0.09999999999990905
persistence,24,precipitation,0.1
climatology,1,temperature_2m,0.05000000000000249
climatology,1,relative_humidity_2m,2.642857142857139
climatology,1,cloud_cover,1.0714285714285694
climatology,1,wind_speed_100m,2.55
climatology,1,wind_speed_10m,1.0857142857142859
climatology,1,surface_pressure,0.7428571428570194
climatology,1,precipitation,0.5071428571428571
climatology,6,shortwave_radiation,244.92857142857144
climatology,6,direct_normal_irradiance,329.20714285714286
climatology,6,diffuse_radiation,36.85714285714286
climatology,6,temperature_2m,1.8285714285714274
climatology,6,relative_humidity_2m,4.071428571428569
climatology,6,cloud_cover,1.1428571428571388
climatology,6,wind_speed_100m,1.507142857142858
climatology,6,wind_speed_10m,0.8357142857142854
climatology,6,surface_pressure,0.09999999999990905
climatology,6,precipitation,1.1357142857142857
climatology,12,shortwave_radiation,111.5
climatology,12,direct_normal_irradiance,247.43571428571425
climatology,12,diffuse_radiation,2.0714285714285836
climatology,12,temperature_2m,0.5857142857142854
climatology,12,relative_humidity_2m,4.142857142857139
climatology,12,cloud_cover,0.0
climatology,12,wind_speed_100m,2.478571428571429
climatology,12,wind_speed_10m,2.2571428571428567
climatology,12,surface_pressure,0.2571428571428669
climatology,12,precipitation,1.807142857142857
climatology,24,temperature_2m,0.39285714285714235
climatology,24,relative_humidity_2m,0.5714285714285694
climatology,24,cloud_cover,1.1428571428571388
climatology,24,wind_speed_100m,3.4642857142857144
climatology,24,wind_speed_10m,0.33571428571428585
climatology,24,surface_pressure,0.7142857142856656
climatology,24,precipitation,0.2857142857142857
persistence,1,shortwave_radiation,401.0
persistence,1,direct_normal_irradiance,549.6
persistence,1,diffuse_radiation,114.0
