baseline,horizon_h,variable,mae,se,err
persistence,1,temperature_2m,0.1999999999999993,0.039999999999999716,0.1999999999999993
persistence,1,relative_humidity_2m,1.0,1.0,1.0
persistence,1,cloud_cover,8.0,64.0,8.0
persistence,1,wind_speed_100m,4.5,20.25,-4.5
persistence,1,wind_speed_10m,1.2999999999999998,1.6899999999999995,-1.2999999999999998
persistence,1,surface_pressure,0.900000000000091,0.8100000000001637,0.900000000000091
persistence,1,precipitation,0.0,0.0,0.0
persistence,6,temperature_2m,0.20000000000000107,0.040000000000000424,0.20000000000000107
persistence,6,relative_humidity_2m,2.0,4.0,-2.0
persistence,6,cloud_cover,7.0,49.0,7.0
persistence,6,wind_speed_100m,4.300000000000001,18.490000000000006,-4.300000000000001
persistence,6,wind_speed_10m,3.6999999999999997,13.689999999999998,-3.6999999999999997
persistence,6,surface_pressure,0.2999999999999545,0.08999999999997271,0.2999999999999545
persistence,6,precipitation,0.0,0.0,0.0
persistence,12,shortwave_radiation,48.0,2304.0,-48.0
persistence,12,direct_normal_irradiance,248.0,61504.0,-248.0
persistence,12,diffuse_radiation,155.0,24025.0,155.0
persistence,12,temperature_2m,0.10000000000000142,0.010000000000000285,0.10000000000000142
persistence,12,relative_humidity_2m,1.0,1.0,-1.0
persistence,12,cloud_cover,14.0,196.0,14.0
persistence,12,wind_speed_100m,1.7000000000000002,2.8900000000000006,-1.7000000000000002
persistence,12,wind_speed_10m,1.1000000000000005,1.210000000000001,-1.1000000000000005
persistence,12,surface_pressure,0.09999999999990905,0.00999999999998181,0.09999999999990905
persistence,12,precipitation,0.0,0.0,0.0
persistence,24,temperature_2m,0.09999999999999964,0.009999999999999929,0.09999999999999964
persistence,24,relative_humidity_2m,9.0,81.0,9.0
persistence,24,cloud_cover,4.0,16.0,-4.0
persistence,24,wind_speed_100m,0.3999999999999999,0.15999999999999992,0.3999999999999999
persistence,24,wind_speed_10m,1.0,1.0,-1.0
persistence,24,surface_pressure,0.2999999999999545,0.08999999999997271,-0.2999999999999545
persistence,24,precipitation,0.0,0.0,0.0
persistence,48,temperature_2m,1.0,1.0,-1.0
persistence,48,relative_humidity_2m,9.0,81.0,9.0
persistence,48,cloud_cover,1.0,1.0,1.0
persistence,48,wind_speed_100m,2.6999999999999997,7.289999999999998,2.6999999999999997
persistence,48,wind_speed_10m,0.20000000000000018,0.04000000000000007,-0.20000000000000018
persistence,48,surface_pressure,1.0,1.0,-1.0
persistence,48,precipitation,0.0,0.0,0.0
persistence,72,temperature_2m,0.3000000000000007,0.09000000000000043,0.3000000000000007
persistence,72,relative_humidity_2m,14.0,196.0,14.0
persistence,72,cloud_cover,0.0,0.0,0.0
persistence,72,wind_speed_100m,1.0,1.0,-1.0
persistence,72,wind_speed_10m,1.6,2.5600000000000005,-1.6
persistence,72,surface_pressure,0.1999999999999318,0.03999999999997272,-0.1999999999999318
persistence,72,precipitation,0.0,0.0,0.0
climatology,1,temperature_2m,0.29999999999999893,0.08999999999999936,0.29999999999999893
