baseline,horizon_h,variable,mae,se,err
persistence,1,temperature_2m,1.299999999999999,1.6899999999999973,-1.299999999999999
persistence,1,relative_humidity_2m,11.0,121.0,-11.0
persistence,1,cloud_cover,45.0,2025.0,-45.0
persistence,1,wind_speed_100m,0.7999999999999999,0.6399999999999999,0.7999999999999999
persistence,1,wind_speed_10m,0.4,0.16000000000000003,-0.4
persistence,1,surface_pressure,1.3000000000000682,1.6900000000001774,-1.3000000000000682
persistence,1,precipitation,0.0,0.0,0.0
persistence,6,temperature_2m,2.4000000000000004,5.760000000000002,-2.4000000000000004
persistence,6,relative_humidity_2m,11.0,121.0,-11.0
persistence,6,cloud_cover,16.0,256.0,-16.0
persistence,6,wind_speed_100m,1.0000000000000002,1.0000000000000004,-1.0000000000000002
persistence,6,wind_speed_10m,0.5,0.25,0.5
persistence,6,surface_pressure,2.2999999999999545,5.28999999999979,-2.2999999999999545
persistence,6,precipitation,0.0,0.0,0.0
persistence,12,shortwave_radiation,56.0,3136.0,56.0
persistence,12,direct_normal_irradiance,64.39999999999998,4147.359999999997,64.39999999999998
persistence,12,diffuse_radiation,2.0,4.0,2.0
persistence,12,temperature_2m,3.200000000000001,10.240000000000007,-3.200000000000001
persistence,12,relative_humidity_2m,31.0,961.0,31.0
persistence,12,cloud_cover,11.0,121.0,11.0
persistence,12,wind_speed_100m,4.9,24.010000000000005,4.9
persistence,12,wind_speed_10m,3.7,13.690000000000001,3.7
persistence,12,surface_pressure,1.8999999999999773,3.6099999999999137,-1.8999999999999773
persistence,12,precipitation,3.2,10.240000000000002,3.2
persistence,24,temperature_2m,0.6999999999999993,0.489999999999999,0.6999999999999993
persistence,24,relative_humidity_2m,11.0,121.0,11.0
persistence,24,cloud_cover,21.0,441.0,21.0
persistence,24,wind_speed_100m,1.9,3.61,1.9
persistence,24,wind_speed_10m,0.8,0.6400000000000001,0.8
persistence,24,surface_pressure,2.099999999999909,4.409999999999618,2.099999999999909
persistence,24,precipitation,0.1,0.010000000000000002,0.1
persistence,48,temperature_2m,0.5,0.25,0.5
persistence,48,relative_humidity_2m,11.0,121.0,11.0
persistence,48,cloud_cover,21.0,441.0,21.0
persistence,48,wind_speed_100m,2.1,4.41,2.1
persistence,48,wind_speed_10m,0.7,0.48999999999999994,0.7
persistence,48,surface_pressure,3.099999999999909,9.609999999999436,3.099999999999909
persistence,48,precipitation,0.1,0.010000000000000002,0.1
persistence,72,temperature_2m,1.1999999999999993,1.4399999999999984,1.1999999999999993
persistence,72,relative_humidity_2m,7.0,49.0,7.0
persistence,72,cloud_cover,21.0,441.0,21.0
persistence,72,wind_speed_100m,2.7,7.290000000000001,2.7
persistence,72,wind_speed_10m,0.8999999999999999,0.8099999999999998,0.8999999999999999
persistence,72,surface_pressure,2.5,6.25,2.5
persistence,72,precipitation,0.0,0.0,0.0
climatology,1,temperature_2m,1.706666666666667,2.912711111111112,-1.706666666666667
climatology,1,relative_humidity_2m,2.6666666666666714,7.1111111111111365,-2.6666666666666714
climatology,1,cloud_cover,26.36666666666666,695.2011111111108,-26.36666666666666
climatology,1,wind_speed_100m,3.4833333333333343,12.133611111111117,-3.4833333333333343
climatology,1,wind_speed_10m,1.85,3.4225000000000003,-1.85
climatology,1,surface_pressure,0.7133333333333667,0.5088444444444921,-0.7133333333333667
climatology,1,precipitation,0.060000000000000005,0.0036000000000000008,-0.060000000000000005
climatology,6,temperature_2m,2.2933333333333294,5.25937777777776,-2.2933333333333294
climatology,6,relative_humidity_2m,4.13333333333334,17.0844444444445,-4.13333333333334
climatology,6,cloud_cover,1.2666666666666657,1.6044444444444421,1.2666666666666657
climatology,6,wind_speed_100m,3.9766666666666666,15.813877777777776,-3.9766666666666666
climatology,6,wind_speed_10m,1.3333333333333335,1.7777777777777781,-1.3333333333333335
climatology,6,surface_pressure,1.296666666666738,1.6813444444446293,-1.296666666666738
climatology,6,precipitation,0.0,0.0,0.0
climatology,12,shortwave_radiation,11.600000000000023,134.5600000000005,-11.600000000000023
climatology,12,direct_normal_irradiance,61.65999999999997,3801.955599999996,-61.65999999999997
climatology,12,diffuse_radiation,49.599999999999994,2460.1599999999994,49.599999999999994
climatology,12,temperature_2m,4.24,17.977600000000002,-4.24
climatology,12,relative_humidity_2m,26.93333333333333,725.4044444444443,26.93333333333333
climatology,12,cloud_cover,29.266666666666666,856.5377777777777,29.266666666666666
climatology,12,wind_speed_100m,1.663333333333334,2.76667777777778,1.663333333333334
climatology,12,wind_speed_10m,2.2133333333333334,4.898844444444444,2.2133333333333334
climatology,12,surface_pressure,1.6733333333332894,2.800044444444297,-1.6733333333332894
climatology,12,precipitation,2.706666666666667,7.326044444444446,2.706666666666667
climatology,24,temperature_2m,1.0533333333333346,1.1095111111111138,-1.0533333333333346
climatology,24,relative_humidity_2m,12.299999999999997,151.28999999999994,12.299999999999997
climatology,24,cloud_cover,16.63333333333334,276.667777777778,16.63333333333334
climatology,24,wind_speed_100m,1.8200000000000012,3.3124000000000042,-1.8200000000000012
climatology,24,wind_speed_10m,0.6300000000000001,0.39690000000000014,-0.6300000000000001
climatology,24,surface_pressure,1.3299999999999272,1.7688999999998065,1.3299999999999272
climatology,24,precipitation,0.05333333333333334,0.002844444444444445,0.05333333333333334
climatology,48,temperature_2m,1.2533333333333339,1.5708444444444458,-1.2533333333333339
climatology,48,relative_humidity_2m,12.299999999999997,151.28999999999994,12.299999999999997
climatology,48,cloud_cover,16.63333333333334,276.667777777778,16.63333333333334
climatology,48,wind_speed_100m,1.620000000000001,2.624400000000003,-1.620000000000001
climatology,48,wind_speed_10m,0.7300000000000002,0.5329000000000003,-0.7300000000000002
climatology,48,surface_pressure,2.3299999999999272,5.428899999999661,2.3299999999999272
climatology,48,precipitation,0.05333333333333334,0.002844444444444445,0.05333333333333334
climatology,72,temperature_2m,0.5533333333333346,0.30617777777777916,-0.5533333333333346
climatology,72,relative_humidity_2m,8.299999999999997,68.88999999999996,8.299999999999997
climatology,72,cloud_cover,16.63333333333334,276.667777777778,16.63333333333334
climatology,72,wind_speed_100m,1.020000000000001,1.0404000000000018,-1.020000000000001
climatology,72,wind_speed_10m,0.5300000000000002,0.28090000000000026,-0.5300000000000002
climatology,72,surface_pressure,1.7300000000000182,2.9929000000000627,1.7300000000000182
climatology,72,precipitation,0.04666666666666667,0.002177777777777778,-0.04666666666666667
mos,1,temperature_2m,0.1440529043277543,0.020751239245261136,0.1440529043277543
mos,1,relative_humidity_2m,6.771505362673437,45.85328487671512,-6.771505362673437
mos,1,cloud_cover,15.0,225.0,-15.0
mos,1,wind_speed_100m,1.0379653292296087,1.07737202468273,1.0379653292296087
mos,1,wind_speed_10m,0.07616701239614965,0.005801413777355214,-0.07616701239614965
mos,1,surface_pressure,0.18859553702077392,0.0355682765841541,-0.18859553702077392
mos,1,precipitation,0.0,0.0,0.0
mos,6,temperature_2m,0.16113257248214374,0.02596370591471331,0.16113257248214374
mos,6,relative_humidity_2m,4.436637514389318,19.683752434086625,-4.436637514389318
mos,6,cloud_cover,12.0,144.0,-12.0
mos,6,wind_speed_100m,0.7626873111022194,0.5816919345163336,-0.7626873111022194
mos,6,wind_speed_10m,0.3286893007037779,0.10803665639713853,0.3286893007037779
mos,6,surface_pressure,0.33221779702137155,0.11036866465773323,0.33221779702137155
mos,6,precipitation,0.0,0.0,0.0
mos,12,shortwave_radiation,7.970453135508933,63.52812318534418,7.970453135508933
mos,12,direct_normal_irradiance,74.49647524655057,5549.724824159923,74.49647524655057
mos,12,diffuse_radiation,3.9620478738867746,15.69782335497071,-3.9620478738867746
mos,12,temperature_2m,2.6143067635673116,6.834599854033791,-2.6143067635673116
mos,12,relative_humidity_2m,14.83037484849072,219.94001814674616,14.83037484849072
mos,12,cloud_cover,5.0,25.0,5.0
mos,12,wind_speed_100m,4.643741496296238,21.564335084423625,4.643741496296238
mos,12,wind_speed_10m,3.9439266232855514,15.554557209860572,3.9439266232855514
mos,12,surface_pressure,1.7180900703694988,2.951833489902269,-1.7180900703694988
mos,12,precipitation,3.1,9.610000000000001,3.1
mos,24,temperature_2m,0.410381169565877,0.1684127043342571,-0.410381169565877
mos,24,relative_humidity_2m,2.9806113344834273,8.884043927251078,2.9806113344834273
mos,24,cloud_cover,0.0,0.0,0.0
mos,24,wind_speed_100m,1.749461303989349,3.060614854156113,1.749461303989349
mos,24,wind_speed_10m,0.6377834848623984,0.40676777356322524,0.6377834848623984
mos,24,surface_pressure,0.20632331699550832,0.04256931113602901,0.20632331699550832
mos,24,precipitation,0.1,0.010000000000000002,-0.1
mos,48,temperature_2m,0.6271935883867688,0.3933717973134715,-0.6271935883867688
mos,48,relative_humidity_2m,1.4600226892943766,2.1316662532543837,1.4600226892943766
mos,48,cloud_cover,0.0,0.0,0.0
mos,48,wind_speed_100m,1.8690011488704106,3.4931652944789144,1.8690011488704106
mos,48,wind_speed_10m,0.2652896544005182,0.07037860073194639,0.2652896544005182
mos,48,surface_pressure,0.11928552835729533,0.01422903727547911,0.11928552835729533
mos,48,precipitation,0.0,0.0,0.0
mos,72,temperature_2m,0.33797500316904383,0.11422710276711519,-0.33797500316904383
mos,72,relative_humidity_2m,1.6963988266714836,2.877768979132386,-1.6963988266714836
mos,72,cloud_cover,12.0,144.0,12.0
mos,72,wind_speed_100m,2.2322585157169144,4.982978080990682,2.2322585157169144
