modo,estrategia,fecha,pv_kwh,costo_total,costo_norm,diesel_L,diesel_h,ens_kwh,ens_h,deficit_kwh,deficit_max_kw,soc_start_kwh,soc_min_kwh,soc_final_kwh,import_kwh,export_kwh,curtailed_kwh,viol
isla,smpc,2026-07-24,162.73176749431528,67177.5967437,70480.75169106844,597.040767437,17,0.0,0,0.0,0.0,130.0,63.07789473684209,88.71056315789473,0.0,0.0,190.92461155162337,0
isla,smpc,2026-07-25,167.24323920005585,69870.5204509,69642.41350353158,622.4384045090001,18,0.0,0,0.0,0.0,88.71056315789473,43.07793157894734,91.56189999999998,0.0,0.0,197.02108325736395,0
isla,smpc,2026-07-26,140.67693533991186,69750.48045090001,69750.44950353159,622.4384045090001,18,0.0,0,0.0,0.0,91.56189999999998,45.9292684210526,91.56228684210522,0.0,0.0,173.4557793972199,0
isla,smpc,2026-07-27,152.71326485447563,70788.8004509,68815.96150353158,622.4384045090001,18,0.0,0,0.0,0.0,91.56228684210522,45.92965526315784,116.22277368421045,0.0,0.0,159.53410891178368,0
isla,dmpc,2026-07-24,162.73176749431528,67879.6404509,69354.46339826842,594.4384045090001,17,0.0,0,0.0,0.0,130.0,63.07789473684209,111.56471315789472,0.0,0.0,162.73161155162336,0
isla,dmpc,2026-07-25,167.24323920005585,71763.19435979999,68742.46741243158,626.667143598,18,0.0,0,0.0,0.0,111.56471315789472,65.93208157894733,149.32379999999995,0.0,0.0,167.24308325736393,0
isla,dmpc,2026-07-26,140.67693533991186,67665.8804509,69546.84739826842,594.4384045090001,17,0.0,0,0.0,0.0,149.32379999999995,82.40169473684205,125.81171315789467,0.0,0.0,146.0207793972199,0
isla,dmpc,2026-07-27,152.71326485447563,70933.4404509,68685.78802984736,622.4384045090001,18,0.0,0,0.0,0.0,125.81171315789467,80.17908157894729,153.90736842105264,0.0,0.0,155.9181089117837,0
isla,heur,2026-07-24,162.73176749431528,71730.6435694512,78833.71732441447,673.9668353584361,23,7.105427357601002e-15,0,0.0,0.0,130.0,41.21157806295927,41.21157806295927,0.0,0.0,394.81472085199056,0
isla,heur,2026-07-25,167.24323920005585,71863.44751641012,71863.44751641012,709.034475164101,24,7.105427357601002e-15,0,0.0,0.0,41.21157806295927,41.21157806295927,41.21157806295927,0.0,0.0,376.53569481299314,0
isla,heur,2026-07-26,140.67693533991186,72503.78654144166,72503.78654144166,715.4378654144167,24,0.0,0,0.0,0.0,41.21157806295927,41.21157806295927,41.21157806295927,0.0,0.0,360.6000262873476,0
isla,heur,2026-07-27,152.71326485447563,72293.45585322328,72293.45585322328,713.3345585322327,24,0.0,0,0.0,0.0,41.21157806295927,41.21157806295927,41.21157806295927,0.0,0.0,369.20792188039457,0
isla,mpc-pi,2026-07-24,162.73176749431528,60447.820374895855,61003.36753279059,516.2863051219999,17,0.003285972539170956,12,0.003285972539166515,0.00046302264670572413,130.0,64.05263157894737,123.05566052631582,0.0,0.0,24.223897524162496,0
isla,mpc-pi,2026-07-25,167.24323920005585,61047.1640404932,59821.965935230044,513.034714807,17,0.002122511958638995,10,0.0021225119586310015,0.00037783077776332163,123.05566052631582,57.43776578947369,138.37063684210523,0.0,0.0,0.0032057693225802097,0
isla,mpc-pi,2026-07-26,140.67693533991186,60995.97311169661,60976.4263748545,519.438347506,17,0.0019876722193217233,8,0.0019876722193086227,0.00045751240450653263,138.37063684210523,72.11589999999997,138.61497105263155,0.0,0.0,0.003767069439238213,0
isla,mpc-pi,2026-07-27,152.71326485447563,63281.275313009544,60384.908365641124,545.334671101,18,0.0023136405819101924,9,0.0023136405819101924,0.00042797826228735403,138.61497105263155,75.7497078947368,174.8195578947368,0.0,0.0,23.090422552365602,0
