,t_build,t_solve,t_total,margen_vs_900s
p50,0.20465,0.2646,0.4936075210571289,1823.3109537563878
p95,0.316525,0.37318,0.6071997165679931,1482.214130610879
p99,0.3837590000000001,0.40557400000000005,0.6949430441856385,1295.0701608282955
max,0.3924,0.4162,0.7061178684234619,1274.5747420461341
