ts,service,pid,cpu_pct,rss_mb
16:37:47,redis,2160,0.7,11.1
16:37:52,backend_node,123090,0.0,47.9
16:37:52,backend_node,123103,11.1,177.8
16:37:52,prediccion_uvicorn,45668,0.2,1187.8
16:37:52,redis,2160,1.0,11.2
16:37:57,backend_node,123090,0.0,47.9
16:37:57,backend_node,123103,6.6,177.8
16:37:57,prediccion_uvicorn,45668,0.2,1187.8
16:37:57,redis,2160,1.1,11.2
16:38:02,backend_node,123090,0.0,47.9
16:38:02,backend_node,123103,7.3,177.8
16:38:02,prediccion_uvicorn,45668,0.2,1187.8
16:38:02,redis,2160,0.7,11.2
16:38:07,backend_node,123090,0.0,47.9
16:38:07,backend_node,123103,6.0,177.8
16:38:07,prediccion_uvicorn,45668,0.2,1187.8
16:38:07,redis,2160,0.9,11.2
16:38:12,backend_node,123090,0.0,47.9
16:38:12,backend_node,123103,5.4,177.8
16:38:12,prediccion_uvicorn,45668,0.2,1187.8
16:38:12,redis,2160,1.1,11.3
16:38:17,backend_node,123090,0.0,47.9
16:38:17,backend_node,123103,7.9,177.9
16:38:17,prediccion_uvicorn,45668,0.2,1187.8
16:38:17,redis,2160,1.0,11.3
16:38:22,backend_node,123090,0.0,47.9
16:38:22,backend_node,123103,6.5,178.2
16:38:23,prediccion_uvicorn,45668,0.4,1187.8
16:38:23,redis,2160,0.7,11.3
16:38:28,backend_node,123090,0.0,47.9
16:38:28,backend_node,123103,11.4,178.3
16:38:28,prediccion_uvicorn,45668,0.2,1187.8
16:38:28,redis,2160,1.2,11.4
16:38:33,backend_node,123090,0.0,47.9
16:38:33,backend_node,123103,6.9,178.3
16:38:33,prediccion_uvicorn,45668,0.2,1187.8
16:38:33,redis,2160,0.9,11.4
16:38:38,backend_node,123090,0.0,47.9
16:38:38,backend_node,123103,5.2,178.3
16:38:38,prediccion_uvicorn,45668,0.2,1187.8
16:38:38,redis,2160,0.6,11.5
16:38:43,backend_node,123090,0.0,47.9
16:38:43,backend_node,123103,7.5,178.3
16:38:43,prediccion_uvicorn,45668,0.5,1187.8
16:38:43,redis,2160,1.2,11.5
16:38:48,backend_node,123090,0.0,47.9
16:38:48,backend_node,123103,6.8,178.3
16:38:48,prediccion_uvicorn,45668,0.2,1187.8
16:38:48,redis,2160,0.9,11.6
16:38:53,backend_node,123090,0.0,47.9
16:38:53,backend_node,123103,5.8,178.5
16:38:53,prediccion_uvicorn,45668,0.2,1187.8
16:38:53,redis,2160,0.7,11.6
16:38:58,backend_node,123090,0.0,47.9
16:38:58,backend_node,123103,9.2,179.0
16:38:59,prediccion_uvicorn,45668,0.2,1187.8
16:38:59,redis,2160,1.0,11.6
16:39:04,backend_node,123090,0.0,47.9
16:39:04,backend_node,123103,12.0,179.4
16:39:04,prediccion_uvicorn,45668,0.2,1187.8
16:39:04,redis,2160,1.1,11.7
16:39:09,backend_node,123090,0.0,47.9
16:39:09,backend_node,123103,6.3,179.4
16:39:09,prediccion_uvicorn,45668,0.2,1187.8
16:39:09,redis,2160,0.9,11.7
16:39:14,backend_node,123090,0.0,47.9
16:39:14,backend_node,123103,4.9,179.4
16:39:14,prediccion_uvicorn,45668,0.2,1187.8
16:39:14,redis,2160,0.7,11.8
16:39:19,backend_node,123090,0.0,47.9
16:39:19,backend_node,123103,6.6,179.4
16:39:19,prediccion_uvicorn,45668,0.4,1187.8
16:39:19,redis,2160,0.9,11.8
16:39:24,backend_node,123090,0.0,47.9
16:39:24,backend_node,123103,8.3,179.6
16:39:24,prediccion_uvicorn,45668,0.2,1187.8
16:39:24,redis,2160,0.7,11.8
16:39:29,backend_node,123090,0.0,47.9
16:39:29,backend_node,123103,6.0,179.9
16:39:30,prediccion_uvicorn,45668,0.2,1187.8
16:39:30,redis,2160,1.1,11.9
16:39:35,backend_node,123090,0.0,47.9
16:39:35,backend_node,123103,11.4,180.8
16:39:35,prediccion_uvicorn,45668,0.2,1187.8
16:39:35,redis,2160,0.9,11.9
16:39:40,backend_node,123090,0.0,47.9
16:39:40,backend_node,123103,7.0,180.8
16:39:40,prediccion_uvicorn,45668,0.2,1187.8
16:39:40,redis,2160,1.2,12.0
16:39:45,backend_node,123090,0.0,47.9
16:39:45,backend_node,123103,5.7,180.9
16:39:45,prediccion_uvicorn,45668,0.2,1187.8
16:39:45,redis,2160,1.1,12.0
16:39:50,backend_node,123090,0.0,47.9
16:39:50,backend_node,123103,7.2,180.9
16:39:50,prediccion_uvicorn,45668,0.2,1187.8
16:39:50,redis,2160,0.9,12.1
16:39:55,backend_node,123090,0.0,47.9
16:39:55,backend_node,123103,5.8,180.9
16:39:55,prediccion_uvicorn,45668,0.2,1187.8
16:39:55,redis,2160,0.9,12.1
16:40:00,backend_node,123090,0.0,47.9
16:40:00,backend_node,123103,5.3,180.9
16:40:00,prediccion_uvicorn,45668,0.2,1187.8
16:40:00,redis,2160,0.9,12.1
16:40:05,backend_node,123090,0.0,47.9
16:40:05,backend_node,123103,2.8,180.9
16:40:05,prediccion_uvicorn,45668,0.2,1187.8
16:40:05,redis,2160,0.9,12.1
16:40:11,backend_node,123090,0.0,47.9
16:40:11,backend_node,123103,3.2,181.2
16:40:11,prediccion_uvicorn,45668,0.2,1187.8
16:40:11,redis,2160,0.9,12.1
16:40:16,backend_node,123090,0.0,47.9
16:40:16,backend_node,123103,18.8,141.3
16:40:16,prediccion_uvicorn,45668,0.2,1187.8
16:40:16,redis,2160,0.9,12.1
